Country,Total Trades,Average number of Trades,Sum of Trade Weights (kg),Average Trade Weight (kg),Total Trade Amount (USD),Average Trade Amount (USD),Income Group,Inflation Rate (%),GDP Growth Rate (%),Unemployment Rate (%),Interest Rate (%),Stock Index Value,Access to electricity (% of population),Agricultural land (% of land area),Annual CO2 combustion emissions at operating coal mines (Mt CO2),Annual CO2 combustion emissions at proposed coal projects (Mt CO2),Annual methane emissions at operating coal mines (Mt CO2e 100 years),Annual methane emisssions at proposed coal projects (Mt CO2e 100 years),Arable land (% of land area),Capacity of Liquefied Natural Gas export terminals (Mt per year) - Operating,Capacity of Liquefied Natural Gas import terminals (Mt per year) - Operating,"Central government debt, total (% of GDP)",Coal rents (% of GDP),Electricity net consumption,Electricity net generation,Gas pipeline capacity by project status (barrels of oil equivalent per day) - Operating,GDP (current US$),GDP growth (annual %),GDP per capita (current US$),Gini index (World Bank estimate),Government Effectiveness: Estimate,Lifetime CO2 emissions from coal plants (Mt CO2),"Literacy rate, adult total (% of people ages 15 and above)",Mineral rents (% of GDP),Natural gas rents (% of GDP),Oil pipeline capacity by project status (barrels of oil equivalent per day) - Operating,Oil rents (% of GDP),Poverty headcount ratio at $5.50 a day (2011 PPP) (% of population),Share of surface occupied by forest (% of total),Tax revenue (% of GDP),Total coal capacity by plant status (MW) - Operating,Total natural resources rents (% of GDP),Total steelmaking capacity (thousand tonnes per annum),"Unemployment, total (% of total labor force) (modeled ILO estimate)",Urban population (% of total population),2025 [2025] Old Exchange rate,2025M01 [2025M01] New Exchange Rate,Continent,Country/Region,Population,Trade Balance
albania,6195506.0,247820.24,137141.15,5714.214583333333,2919197.845,112276.8401923077,Upper middle income,,,,,,100.0,42.53850364963503,0.0,0.0,0.0,0.0,21.88321167883212,0.0,0.0,84.05861907864124,0.0068563376850086,0.0,5.313,0.0,33391909770.40045,5.06245287802588,11826.54618745428,0.0,-0.1283202911727129,118.0,0.0,0.040452926925788,0.0180161795781681,0.0,1.05395231261002,0.0,28.79197080291971,17.01790694721704,0.0,1.25377173185565,0.0,46.6690006256104,384.993,95.00909091,95.00909091,Europe,Albania,2761000,2782056.6950000003
algeria,17243476.0,574782.5333333333,7883159.788,207451.5733684211,24059094.82,633134.0742105263,Upper middle income,,,,,,99.8041305541992,17.36496411658531,0.0,0.0,0.0,0.0,3.151063444765825,29.34,0.0,0.0,0.0,0.0,72.789912773417,778881.0,312992323228.9313,-1.252206509559556,7071.892833328056,0.0,-1.165645480155945,0.0,0.0,0.0049712397446678,1.57042390536563,2554674.2,10.1943460569889,0.0,0.818308959706366,0.0,0.0,11.92571914195,8700.0,49.1960000991822,449.994,135.4296818,135.4296818,Africa,Algeria,45606000,16175935.032000002
angola,432585.0,72097.5,6001194.501,272781.5682272727,42233424.214,1759726.008916667,Lower middle income,,,,,,46.8906097412109,45.68259404828748,0.0,0.0,0.0,0.0,3.930376193149915,5.2,0.0,0.0,0.0,0.0,14.3882890547922,99473.0,126166056884.7097,-4.79999999837095,3769.341084270344,0.0,-2.26289737224579,0.0,0.0,0.0,0.781882427406069,188854.8,24.028004023435,0.0,53.42695115103875,0.0,0.0,25.5179628326171,0.0,33.01100015640259,410.195,921.5696429,921.5696429,Africa,Angola,36684000,36232229.713
antigua and barbuda,1145585.92,27275.85523809524,548293.8250000002,10153.58935185186,1907584.824,35325.64488888889,High income,,,,,,100.0,20.45454545454546,0.0,0.0,0.0,0.0,9.090909090909092,0.0,0.0,0.0,0.0,0.0,0.32642405059699,0.0,2841407407.407407,-14.92152173269518,28893.54188266517,0.0,-0.297703117132186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.45454545454545,0.0,0.0,0.0,0.0,0.0,146.192,2.7,2.7,North America,Antigua and Barbuda,94000,1359290.9989999998
argentina,127298485.5,2448047.798076923,3494570.19,65935.28660377358,89408416.59,1686951.256415094,Upper middle income,,,,,,100.0,39.60322860828227,0.0,0.0,0.0,0.0,11.92417106066087,0.45,3.8,0.0,9.37168297664931e-05,121.56394,137.59094,1095288.0,881000000000.0,0.3684919642017803,19314.92732021965,42.3,-0.580949246883393,28.0,0.0,0.262536724043925,0.270940769035641,444806.4,1.1177564069069,14.1,10.44071487819227,10.75849814815203,350.0,1.8285686630972,6200.0,43.37100028991711,554.422,1041.012857,1041.012857,South America,Argentina,46231000,85913846.4
armenia,6836070.0,213627.1875,127113.702,3972.3031875,2098500.39,63590.9209090909,Upper middle income,,,,,,100.0,58.86898489638216,0.0,0.0,0.0,0.0,15.59536354056902,0.0,0.0,63.40366014251534,0.0,0.0,7.32904,2011.0,26502393675.70509,-1.699999999804234,8936.026872210456,25.2,-0.5240330696105959,0.0,99.7886123657227,2.21691449105971,0.0,0.0,0.0,53.5,11.53740779768177,21.86126269144905,0.0,2.48328139508655,0.0,83.39899826049799,382.127,..,..,Asia,Armenia,2780000,1971386.688
australia,368017633.922,6133627.232033333,22533880.714,433343.8598846154,656148353.6259999,10935805.89376667,High income,5.059019607843138,2.736078431372549,7.121176470588235,5.208823529411766,19768.96274509804,100.0,46.25247984274612,978.0,978.0,49.0,78.0,3.983868996700477,87.6,0.0,69.36491413351534,0.554131792348425,0.0,243.309,2377570.0,2870496071061.044,1.471326324737987,111614.4459318334,0.0,3.12300324440002,1239.364,0.0,4.01257235126772,0.916401607528476,304000.0,0.253858465971328,0.0,17.42131455716444,22.59602618248786,25107.0,5.91844174901544,6700.0,21.4980001449585,519.345,1.606847039,1.606847039,Oceania,Australia,26439000,633614472.912
austria,62378248.0,2599093.666666667,11834557.793,223293.5432641509,491618039.902,8778893.569678571,High income,,,,,,100.0,32.07416383906931,0.0,0.0,0.0,0.0,16.00920988851188,0.0,0.0,100.3666397624215,0.0,69.9052,70.9022,733852.0,910340935130.8096,-2.250544870323239,101856.5921339053,0.0,3.2159093618393,123.0,0.0,0.0,0.0087652478356928,292912.0,0.0227114611405239,0.0,47.25096946194861,24.29672412167693,0.0,0.0886772989072538,7500.0,22.19899988174439,356.47,0.966439652,0.966439652,Europe,Austria,9027000,479783482.109
azerbaijan,15942746.0,346581.4347826087,551717.676,11738.67395744681,21409269.28,455516.3676595745,Upper middle income,,,,,,100.0,57.83824988505191,0.0,0.0,0.0,0.0,25.21961135445152,0.0,0.0,0.0,0.0,0.0,24.37044,218871.0,97315176470.58824,1.300037170496012,9613.945647090237,0.0,0.130742698907852,0.0,0.0,0.278001111436228,3.22405836236719,286833.0,15.2778670937422,0.0,13.69418967645137,0.0,0.0,18.8017532307309,0.0,25.93400001525879,344.348,1.7,1.7,Asia,Azerbaijan,10358000,20857551.604000002
bahrain,2996182.78,56531.75056603774,668228.5370000001,11723.30766666667,36842371.387,635213.2997758621,High income,,,,,,100.0,10.95541401273885,0.0,0.0,0.0,0.0,2.038216560509554,0.0,9.0,0.0,0.0,0.0,29.85563728816,0.0,73592020478.7234,-2.710503737123688,42638.82755219215,0.0,1.139033108949661,0.0,0.0,0.0,1.32306880614486,132344.5,7.35913107256516,0.0,0.89171974522293,0.0,0.0,8.6827268844,0.0,6.97299993038178,538.8720000000001,..,..,Asia,Bahrain,1569000,36174142.85
